Date,Region,Product,Quantity,Unit_Price,Unit_Cost,Revenue,Profit,Buyer_Type,Sales_Channel,Transaction_Type,Cashflow_Balance
2024-04-20,Zachodniopomorskie,"Initial Capital Investment (herd, land, infrastructure)",1.0,0.0,1500000.0,0.0,-1500000.0,Internal Expense,N/A,EXPENSE,-1500000.0
2024-04-21,Zachodniopomorskie,Agricultural Fuel (liter),104.7,0.0,5.8,0.0,-607.26,Internal Expense,N/A,EXPENSE,-1500607.26
2024-04-21,Zachodniopomorskie,Cattle Feed (kg),1192.6,0.0,1.45,0.0,-1729.27,Internal Expense,N/A,EXPENSE,-1502336.53
2024-04-21,Zachodniopomorskie,Cow Milk (HL),14.52,208.9286,87.5319,3033.64,1762.68,Processing Plant,Skup,INCOME,-1500573.85
2024-04-21,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,66.6739,32.9164,266.7,135.03,Meat Factory,Skup,INCOME,-1500438.82
2024-04-22,Zachodniopomorskie,Agricultural Fuel (liter),65.6,0.0,5.8,0.0,-380.48,Internal Expense,N/A,EXPENSE,-1500819.3
2024-04-22,Zachodniopomorskie,Cattle Feed (kg),759.6,0.0,1.45,0.0,-1101.42,Internal Expense,N/A,EXPENSE,-1501920.72
2024-04-22,Zachodniopomorskie,Cow Milk (HL),10.75,192.0025,91.8256,2064.03,1076.9,Agricultural Wholesale,Skup,INCOME,-1500843.82
2024-04-22,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,58.2517,31.8432,233.01,105.64,Food Wholesaler,Skup,INCOME,-1500738.18
2024-04-23,Zachodniopomorskie,Agricultural Fuel (liter),74.4,0.0,5.8,0.0,-431.52,Internal Expense,N/A,EXPENSE,-1499132.8
2024-04-23,Zachodniopomorskie,Cattle Feed (kg),841.4,0.0,1.45,0.0,-1220.03,Internal Expense,N/A,EXPENSE,-1500352.83
2024-04-23,Zachodniopomorskie,Cow Milk (HL),14.74,196.95,83.2063,2903.04,1676.58,Agricultural Wholesale,Skup,INCOME,-1498904.3
2024-04-23,Zachodniopomorskie,Chicken Eggs (100 pcs),6.0,65.6516,31.815,393.91,203.02,Agricultural Wholesale,Skup,INCOME,-1498701.28
2024-04-23,Zachodniopomorskie,Broiler Poultry (KG),66.4,4.9745,2.6056,330.31,157.3,Meat Factory,Skup,INCOME,-1500580.88
2024-04-24,Zachodniopomorskie,Agricultural Fuel (liter),120.1,0.0,5.8,0.0,-696.58,Internal Expense,N/A,EXPENSE,-1501049.41
2024-04-24,Zachodniopomorskie,Cattle Feed (kg),1055.8,0.0,1.45,0.0,-1530.91,Internal Expense,N/A,EXPENSE,-1502580.32
2024-04-24,Zachodniopomorskie,Cow Milk (HL),17.79,217.5984,86.9293,3871.08,2324.61,Agricultural Wholesale,Skup,INCOME,-1500255.71
2024-04-24,Zachodniopomorskie,Chicken Eggs (100 pcs),6.0,60.0092,31.4848,360.06,171.15,Meat Factory,Skup,INCOME,-1500084.56
2024-04-25,Zachodniopomorskie,Agricultural Fuel (liter),82.4,0.0,5.8,0.0,-477.92,Internal Expense,N/A,EXPENSE,-1500562.48
2024-04-25,Zachodniopomorskie,Cattle Feed (kg),702.6,0.0,1.45,0.0,-1018.77,Internal Expense,N/A,EXPENSE,-1501581.25
2024-04-25,Zachodniopomorskie,Cow Milk (HL),17.24,217.6929,79.7647,3753.03,2377.89,Agricultural Wholesale,Skup,INCOME,-1499203.36
2024-04-25,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,59.1982,34.72,236.79,97.91,Meat Factory,Skup,INCOME,-1499105.45
2024-04-25,Zachodniopomorskie,Broiler Poultry (KG),78.3,4.7866,2.6224,374.79,169.46,Food Wholesaler,Skup,INCOME,-1498935.99
2024-04-26,Zachodniopomorskie,Agricultural Fuel (liter),104.9,0.0,5.8,0.0,-608.42,Internal Expense,N/A,EXPENSE,-1497231.59
2024-04-26,Zachodniopomorskie,Cattle Feed (kg),919.4,0.0,1.45,0.0,-1333.13,Internal Expense,N/A,EXPENSE,-1498564.72
2024-04-26,Zachodniopomorskie,Cow Milk (HL),17.23,217.1337,88.1631,3741.21,2222.16,Meat Factory,Skup,INCOME,-1496623.17
2024-04-26,Zachodniopomorskie,Chicken Eggs (100 pcs),3.0,66.3122,36.0932,198.94,90.66,Food Wholesaler,Skup,INCOME,-1498845.33
2024-04-27,Zachodniopomorskie,Agricultural Fuel (liter),119.0,0.0,5.8,0.0,-690.2,Internal Expense,N/A,EXPENSE,-1499254.92
2024-04-27,Zachodniopomorskie,Cattle Feed (kg),1151.4,0.0,1.45,0.0,-1669.53,Internal Expense,N/A,EXPENSE,-1500924.45
2024-04-27,Zachodniopomorskie,Cow Milk (HL),16.62,189.3312,80.9075,3146.68,1802.0,Agricultural Wholesale,Skup,INCOME,-1499122.45
2024-04-27,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,58.5606,34.8088,234.24,95.0,Processing Plant,Skup,INCOME,-1499027.45
2024-04-27,Zachodniopomorskie,Broiler Poultry (KG),51.4,4.9014,2.6256,251.93,116.97,Food Wholesaler,Skup,INCOME,-1498910.48
2024-04-28,Zachodniopomorskie,Agricultural Fuel (liter),83.9,0.0,5.8,0.0,-486.62,Internal Expense,N/A,EXPENSE,-1499344.84
2024-04-28,Zachodniopomorskie,Cattle Feed (kg),1118.2,0.0,1.45,0.0,-1621.39,Internal Expense,N/A,EXPENSE,-1500966.23
2024-04-28,Zachodniopomorskie,Cow Milk (HL),18.1,215.5899,80.6753,3902.18,2441.96,Processing Plant,Skup,INCOME,-1498524.27
2024-04-28,Zachodniopomorskie,Chicken Eggs (100 pcs),1.0,87.6267,35.373,87.63,52.26,Eco-Shop,RHD,INCOME,-1498858.22
2024-04-29,Zachodniopomorskie,Agricultural Fuel (liter),101.5,0.0,5.8,0.0,-588.7,Internal Expense,N/A,EXPENSE,-1497152.45
2024-04-29,Zachodniopomorskie,Cattle Feed (kg),646.4,0.0,1.45,0.0,-937.28,Internal Expense,N/A,EXPENSE,-1498089.73
2024-04-29,Zachodniopomorskie,Cow Milk (HL),17.84,189.1244,89.9075,3373.98,1770.03,Food Wholesaler,Skup,INCOME,-1496563.75
2024-04-29,Zachodniopomorskie,Chicken Eggs (100 pcs),6.0,66.6818,34.9329,400.09,190.49,Processing Plant,Skup,INCOME,-1498333.78
2024-04-30,Zachodniopomorskie,Agricultural Fuel (liter),77.2,0.0,5.8,0.0,-447.76,Internal Expense,N/A,EXPENSE,-1498488.56
2024-04-30,Zachodniopomorskie,Cattle Feed (kg),523.8,0.0,1.45,0.0,-759.51,Internal Expense,N/A,EXPENSE,-1499248.07
2024-04-30,Zachodniopomorskie,Cow Milk (HL),11.93,215.5734,83.9254,2571.79,1570.56,Agricultural Wholesale,Skup,INCOME,-1497677.51
2024-04-30,Zachodniopomorskie,Chicken Eggs (100 pcs),1.0,84.7901,35.8582,84.79,48.93,Eco-Shop,RHD,INCOME,-1498040.8
2024-04-30,Zachodniopomorskie,Broiler Poultry (KG),96.4,5.0255,2.8828,484.46,206.56,Meat Factory,Skup,INCOME,-1497470.95
2024-05-01,Zachodniopomorskie,Stable Box Rent (Horses),18.0,1309.0166,265.867,23562.3,18776.69,Horse Owner,B2B,INCOME,-1496003.91
2024-05-01,Zachodniopomorskie,"Fixed Costs (Energy, Service, Ins.)",1.0,0.0,15000.0,0.0,-15000.0,Internal Expense,N/A,EXPENSE,-1512072.6
