Date,Region,Product,Quantity,Unit_Price,Unit_Cost,Revenue,Profit,Buyer_Type,Sales_Channel,Transaction_Type
2024-04-20,Zachodniopomorskie,"Initial Capital Investment (herd, land, infrastructure)",1.0,0.0,1500000.0,0.0,-1500000.0,Internal Expense,N/A,EXPENSE
2024-04-21,Zachodniopomorskie,Agricultural Fuel (liter),104.7,0.0,5.8,0.0,-607.26,Internal Expense,N/A,EXPENSE
2024-04-21,Zachodniopomorskie,Cattle Feed (kg),1192.6,0.0,1.45,0.0,-1729.27,Internal Expense,N/A,EXPENSE
2024-04-21,Zachodniopomorskie,Cow Milk (HL),14.52,208.9286,87.5319,3033.64,1762.68,Processing Plant,Skup,INCOME
2024-04-21,Zachodniopomorskie,Chicken Eggs (100 pcs),,66.6739,32.9164,266.7,135.03,Meat Factory,Skup,INCOME
2024-04-22,Zachodniopomorskie,Agricultural Fuel (liter),65.6,0.0,5.8,0.0,-380.48,Internal Expense,N/A,EXPENSE
2024-04-22,Zachodniopomorskie,Cattle Feed (kg),759.6,0.0,1.45,0.0,-1101.42,Internal Expense,N/A,EXPENSE
2024-04-22,Zachodniopomorskie,Cow Milk (HL),10.75,192.0025,91.8256,2064.03,1076.9,Agricultural Wholesale,Skup,INCOME
2024-04-22,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,58.2517,31.8432,233.01,105.64,Food Wholesaler,Skup,INCOME
2024-04-23,Zachodniopomorskie,Agricultural Fuel (liter),74.4,0.0,5.8,0.0,-431.52,Internal Expense,N/A,EXPENSE
2024-04-23,Zachodniopomorskie,Cattle Feed (kg),841.4,0.0,1.45,0.0,-1220.03,Internal Expense,N/A,EXPENSE
2024-04-23,Zachodniopomorskie,Cow Milk (HL),14.74,196.95,83.2063,2903.04,1676.58,Agricultural Wholesale,Skup,INCOME
2024-04-23,Zachodniopomorskie,Chicken Eggs (100 pcs),6.0,65.6516,31.815,393.91,203.02,Agricultural Wholesale,Skup,INCOME
2024-04-23,Zachodniopomorskie,Broiler Poultry (KG),66.4,4.9745,2.6056,330.31,157.3,Meat Factory,Skup,INCOME
2024-04-24,Zachodniopomorskie,Agricultural Fuel (liter),120.1,0.0,5.8,0.0,-696.58,Internal Expense,N/A,EXPENSE
2024-04-24,Zachodniopomorskie,Cattle Feed (kg),1055.8,0.0,1.45,0.0,-1530.91,Internal Expense,N/A,EXPENSE
2024-04-24,Zachodniopomorskie,Cow Milk (HL),17.79,217.5984,86.9293,3871.08,2324.61,,Skup,INCOME
2024-04-24,Zachodniopomorskie,Chicken Eggs (100 pcs),6.0,60.0092,31.4848,360.06,171.15,Meat Factory,Skup,INCOME
2024-04-25,Zachodniopomorskie,Agricultural Fuel (liter),82.4,0.0,5.8,0.0,-477.92,Internal Expense,N/A,EXPENSE
2024-04-25,Zachodniopomorskie,Cattle Feed (kg),702.6,0.0,1.45,20000.0,-1018.77,Internal Expense,N/A,EXPENSE
2024-04-25,Zachodniopomorskie,Cow Milk (HL),17.24,217.6929,79.7647,3753.03,2377.89,,Skup,INCOME
2024-04-25,Zachodniopomorskie,Chicken Eggs (100 pcs),4.0,59.1982,34.72,236.79,97.91,Meat Factory,Skup,INCOME
2024-04-25,Zachodniopomorskie,Broiler Poultry (KG),78.3,4.7866,2.6224,374.79,169.46,Food Wholesaler,Skup,INCOME
2024-04-26,Zachodniopomorskie,Agricultural Fuel (liter),104.9,0.0,5.8,0.0,-608.42,Internal Expense,N/A,EXPENSE
2024-04-26,Zachodniopomorskie,Cattle Feed (kg),919.4,0.0,1.45,0.0,-1333.13,Internal Expense,N/A,EXPENSE
2024-04-26,Zachodniopomorskie,Cow Milk (HL),17.23,217.1337,88.1631,3741.21,2222.16,Meat Factory,Skup,INCOME
